BILLING_PROVIDER_NPI_NUM,SERVICING_PROVIDER_NPI_NUM,HCPCS_CODE,CLAIM_FROM_MONTH,TOTAL_UNIQUE_BENEFICIARIES,TOTAL_CLAIMS,TOTAL_PAID
1000000000,1000000000,80053,2023-01-01,17,35,1570.86
1000000000,1000000000,93000,2023-01-01,24,45,3804.46
1000000000,1000000000,99213,2023-01-01,32,42,4883.29
1000000001,1000000001,80053,2023-01-01,795,1057,47296.21
1000000001,1000000001,93000,2023-01-01,648,1100,93760.65
1000000001,1000000001,99214,2023-01-01,51,73,13140.0
1000000001,1000000001,99232,2023-01-01,944,1285,190753.58
1000000001,1000000001,J3301,2023-01-01,701,1193,77100.48
1000000002,1000000002,36415,2023-01-01,86,109,2724.46
1000000002,1000000002,70450,2023-01-01,81,92,41396.58
1000000002,1000000002,80053,2023-01-01,155,194,87300.0
1000000002,1000000002,93000,2023-01-01,74,101,8516.39
1000000002,1000000002,99232,2023-01-01,52,97,14596.77
1000000002,1000000002,J3301,2023-01-01,77,87,5499.98
1000000003,1000000003,36415,2023-01-01,137,1181,29525.0
1000000003,1000000003,70450,2023-01-01,752,992,446284.64
1000000003,1000000003,80053,2023-01-01,139,914,41130.0
1000000003,1000000003,93000,2023-01-01,710,884,75243.42
1000000003,1000000003,93000,2023-01-01,146,977,83045.0
1000000003,1000000003,97110,2023-01-01,724,886,84219.76
1000000003,1000000003,99213,2023-01-01,396,673,80873.15
1000000003,1000000003,J3301,2023-01-01,527,669,43311.8
1000000004,1000000004,36415,2023-01-01,925,1477,36699.28
1000000004,1000000004,70450,2023-01-01,887,1179,532591.18
1000000004,1000000004,99214,2023-01-01,1001,1947,350420.4
1000000004,1000000004,99232,2023-01-01,1446,1800,269430.15
1000000004,1000000004,99283,2023-01-01,1792,1994,692867.31
1000000005,1000000005,36415,2023-01-01,26,36,873.07
1000000005,1000000005,80053,2023-01-01,21,28,1289.32
1000000005,1000000005,93000,2023-01-01,18,23,1906.01
1000000005,1000000005,97110,2023-01-01,14,27,2559.74
1000000005,1000000005,99214,2023-01-01,23,32,5661.92
1000000005,1000000005,J3301,2023-01-01,19,37,2364.75
1000000006,1000000006,70450,2023-01-01,40,54,23955.44
1000000006,1000000006,99283,2023-01-01,53,67,23029.72
1000000006,1000000006,J3301,2023-01-01,48,70,4630.32
1000000007,1000000007,70450,2023-01-01,39,61,27143.08
1000000007,1000000007,80053,2023-01-01,65,83,3820.47
1000000007,1000000007,93000,2023-01-01,80,98,8366.69
1000000007,1000000007,97110,2023-01-01,86,97,9310.88
1000000007,1000000007,99213,2023-01-01,48,78,9527.99
1000000007,1000000007,99214,2023-01-01,37,66,11741.18
1000000007,1000000007,99232,2023-01-01,66,85,12987.84
1000000008,1000000008,36415,2023-01-01,226,327,8093.75
1000000008,1000000008,70450,2023-01-01,223,250,111793.54
1000000008,1000000008,93000,2023-01-01,275,322,27651.88
1000000008,1000000008,97110,2023-01-01,243,278,26150.52
1000000008,1000000008,99213,2023-01-01,157,204,24338.68
1000000008,1000000008,99214,2023-01-01,138,236,41842.04
1000000008,1000000008,J3301,2023-01-01,231,298,19424.53
1000000009,1000000009,36415,2023-01-01,31,59,1482.08
1000000009,1000000009,97110,2023-01-01,50,62,6109.16
1000000009,1000000009,99213,2023-01-01,31,44,5388.27
1000000009,1000000009,99232,2023-01-01,23,44,6532.49
1000000009,1000000009,99283,2023-01-01,45,57,20198.5
1000000009,1000000009,J3301,2023-01-01,40,56,3679.82
1000000010,1000000010,70450,2023-01-01,15,22,10106.94
1000000010,1000000010,93000,2023-01-01,15,25,2061.94
1000000010,1000000010,97110,2023-01-01,21,34,3162.11
1000000010,1000000010,99283,2023-01-01,16,25,9110.61
1000000010,1000000010,J3301,2023-01-01,23,35,2299.86
1000000011,1000000011,36415,2023-01-01,150,254,6364.58
1000000011,1000000011,70450,2023-01-01,168,275,123943.32
1000000011,1000000011,80053,2023-01-01,398,448,20191.17
1000000012,1000000012,36415,2023-01-01,96,116,2861.38
1000000012,1000000012,93000,2023-01-01,34,66,5735.31
1000000012,1000000012,99213,2023-01-01,96,109,13236.74
1000000012,1000000012,99232,2023-01-01,49,97,14348.81
1000000012,1000000012,J3301,2023-01-01,53,94,5857.71
1000000013,1000000013,36415,2023-01-01,1460,1724,43204.23
1000000013,1000000013,70450,2023-01-01,1538,1806,808932.24
1000000013,1000000013,80053,2023-01-01,740,1186,53741.87
1000000013,1000000013,97110,2023-01-01,830,1498,142968.65
1000000013,1000000013,99214,2023-01-01,1256,1779,320332.38
1000000013,1000000013,99232,2023-01-01,617,1070,160339.55
1000000014,1000000014,99213,2023-01-01,16,26,2920.81
1000000014,1000000014,99214,2023-01-01,22,31,5507.71
1000000014,1000000014,99232,2023-01-01,15,30,4561.18
1000000014,1000000014,99283,2023-01-01,29,38,13614.78
1000000015,1000000015,70450,2023-01-01,314,464,210174.47
1000000015,1000000015,80053,2023-01-01,240,319,14204.43
1000000015,1000000015,99213,2023-01-01,222,279,33338.25
